Client Order ID,Instrument,Side,Quantity,Price
aa13,Rose,1,300,65
aa14,Rose,2,100,55
aa15,Rose,1,100,75
aa16,Rose,2,100,85
aa17,Rose,2,500,100
aa34,Orchid,1,500,20
aa35,Orchid,2,900,20
aa36,Orchid,2,500,1
aa37,Tulip,1,300,65
aa38,Tulip,2,100,55
aa39,Tulip,1,100,75
aa24,Rose,2,500,1
aa25,Orchid,1,300,65
aa26,Orchid,2,100,55
aa27,Orchid,1,100,75
aa44,Tulip,1,700,2
aa45,Tulip,2,80,100
aa46,Tulip,1,500,20
aa31,Orchid,2,900,1
aa32,Orchid,1,700,2
aa33,Orchid,2,80,100
aa68,Lotus,1,700,2
aa69,Lotus,2,80,100
aa70,Lotus,1,500,20
aa71,Lotus,2,900,20
aa72,Lotus,2,500,1
aa20,Rose,1,700,2
aa40,Tulip,2,100,85
aa41,Tulip,2,500,100
aa42,Tulip,1,200,5
aa43,Tulip,2,900,1
aa21,Rose,2,80,100
aa22,Rose,1,500,20
aa23,Rose,2,900,20
aa47,Tulip,2,900,20
aa48,Tulip,2,500,1
aa49,Lavender,1,300,65
aa50,Lavender,2,100,55
aa51,Lavender,1,100,75
aa52,Lavender,2,100,85
aa18,Rose,1,200,5
aa19,Rose,2,900,1
aa65,Lotus,2,500,100
aa28,Orchid,2,100,85
aa29,Orchid,2,500,100
aa30,Orchid,1,200,5
aa59,Lavender,2,900,20
aa60,Lavender,2,500,1
aa61,Lotus,1,300,65
aa62,Lotus,2,100,55
aa63,Lotus,1,100,75
aa64,Lotus,2,100,85
aa57,Lavender,2,80,100
aa66,Lotus,1,200,5
aa67,Lotus,2,900,1
aa53,Lavender,2,500,100
aa54,Lavender,1,200,5
aa55,Lavender,2,900,1
aa56,Lavender,1,700,2
aa58,Lavender,1,500,20
